name,username,email,street,suite,city,zipcode,geo_lat,geo_lng
Leanne Graham,Sincere@april.biz,Sincere@april.biz,,Apt. 556,Gwenborough,92998-3874,-37.3159,81.1496
Ervin Howell,Shanna@melissa.tv,Shanna@melissa.tv,,Suite 879,Wisokyburgh,90566-7771,-37.3159,81.1496
Clementine Bauch,Nathan@yesenia.net,Nathan@yesenia.net,,Suite 847,McKenziehaven,59590-4157,-37.3159,81.1496
Patricia Lebsack,Julianne.OConner@kory.org,Julianne.OConner@kory.org,,Apt. 692,South Elvis,53919-4257,-37.3159,81.1496
Chelsey Dietrich,Lucio_Hettinger@annie.ca,Lucio_Hettinger@annie.ca,,Suite 351,Roscoeview,33263,-37.3159,81.1496
Mrs. Dennis Schulist,Karley_Dach@jasper.info,Karley_Dach@jasper.info,,Apt. 950,South Christy,23505-1337,-37.3159,81.1496
Kurtis Weissnat,Telly.Hoeger@billy.biz,Telly.Hoeger@billy.biz,,Suite 280,Howemouth,58804-1099,-37.3159,81.1496
Nicholas Runolfsdottir V,Sherwood@rosamond.me,Sherwood@rosamond.me,,Suite 729,Aliyaview,45169,-37.3159,81.1496
Glenna Reichert,Chaim_McDermott@dana.io,Chaim_McDermott@dana.io,,Suite 449,Bartholomebury,76495-3109,-37.3159,81.1496
Clementina DuBuque,Rey.Padberg@karina.biz,Rey.Padberg@karina.biz,,Suite 198,Lebsackbury,31428-2261,-37.3159,81.1496
